author,title,amazon_link,category,notes_slug,summary
Seneca,Letters from a Stoic,http://amzn.to/2iGW7O3,top,,"Letters from Seneca to his friend, Lucilius, on the thoughts an actions one should consider to lead a good life.  The human condition hasn't changed much in the last 2000 years and the problems the Romans faced are the same as we contend with today.  If you replace the names, these could be contemporary letters."
Marcus Aurelius,Meditations,http://amzn.to/2lAS8p6,top,,"Similar to the previous, the personal journal of the one true philosopher-king to have ever ruled.  Marcus Aurelius is the most powerful man in the world and still reminds himself to practice patience and prepare to meet adversity with acceptance.  He could have literally any desire granted and reminds himself of his duty.  Reading his thoughts really puts your own life and ""struggles"" in a different light."
George Vaillant,Triumphs of Experience,http://amzn.to/2iGQzU6,top,,"The book of the Harvard Grant Study, the greatest longitudinal study ever conducted, following men from university through the rest of their lives.  While many books discuss what our elder's think is most important, this book quantifiably studies what leads to flourishing later in life.  Author's summary: ""Happiness is love.  Full stop."""
Nassim Taleb,Antifragile,http://amzn.to/2iGZ9Cc,favorite,,"Culmination of Taleb's thesis spanning Fooled by Randomness and the Black Swan.  Exploring the concept of things that are not only robust to chaos, but actually thrive in it, across all spheres of life.  Also, I love how cranky he is.  I could listen to him yell at kids to get off his lawn all day."
Cal Newport,So Good They Can't Ignore You,http://amzn.to/2iH0lW7,favorite,,"Refuting the advice to ""follow your passion"", Cal deconstructs the best approach to building a meaningful career.  He proceeds to thoroughly map out an approach to define your professional life on your own terms, and gain the credibility to obtain it.  Quite possibly the best career book I've ever read."
Wade Davis,One River,http://amzn.to/2iGPMlR,favorite,,"Biography of Richard Evans Schultes, one of the most celebrated ethnobotanists to ever live, written by his protege.  Recounts his exploration of the Brazilian rainforest, weaving the stories of him, the people he meets, the plants, and the history of the land into one narrative.  "
Eiji Yoshikawa,Musashi,http://amzn.to/2iHcDxO,favorite,,"Historical fiction of the life of Miyamoto Musashi, the most renowned Japanese swordsman who ever lived.  A ronin's journey through Edo Period Japan for perfection of his art and purification of spirit. This novel reads much like Gone with the Wind, but with more people fighting with swords."
Chris Kresser,The Paleo Cure,http://amzn.to/2id3nUS,favorite,,"I've read a lot of books on the paleo diet and associated lifestyle.  This is far and away the best one, focusing how to use it theraputically.  It provides a clear conceptual framework on how to remove potentially irritating foods, then test whether you can tolerate them or not.  Then moves on to the other lifestyle modifications that can improve one's health.  The one book on diet I recommend to people."
Walter Isaacson,Benjamin Franklin: An American Life,http://amzn.to/2iGY1hL,favorite,,Fantastic portrait into one of our country's founders (especially the first &#8532;rds).  Franklin is quite the character and put a lot of thought into designing his life that's as applicable today as it was in the 18th century.
Alfred Lansing,Endurance: Shackleton's Incredible Voyage,http://amzn.to/2ia4m8p,favorite,,"The story of Shackleton's famed Antarctic expedition.  Despite his boat being destroyed and being trapped for 18 months, managed to get the entire crew home safely.  Perhaps one of the best studies of the quality of leadership. "
Steven Pressfield,Gates of Fire,http://amzn.to/2iGCslH,favorite,,"Fictional, yeh highly accurate, recounting of the battle of the Spartans and the battle of Thermopylae.  I could barely put it down."
